Source IP,Destination IP,Protocol,Length
20.189.173.14,192.168.141.56,6,54
20.189.173.14,192.168.141.56,6,54
192.168.141.56,20.189.173.1,6,171
192.168.141.56,20.189.173.1,6,1354
192.168.141.56,20.189.173.1,6,1354
192.168.141.56,20.189.173.1,6,1354
192.168.141.56,20.189.173.1,6,706
20.189.173.1,192.168.141.56,6,54
20.189.173.1,192.168.141.56,6,54
192.168.141.56,192.168.141.205,17,92
192.168.141.56,192.168.141.205,17,88
192.168.141.56,192.168.141.205,17,88
192.168.141.205,192.168.141.56,17,212
192.168.141.205,192.168.141.56,17,466
192.168.141.205,192.168.141.56,17,510
192.168.141.56,20.189.173.14,6,66
192.168.141.56,20.37.198.118,6,66
20.189.173.1,192.168.141.56,6,153
192.168.141.56,34.131.210.131,6,78
192.168.141.56,20.189.173.1,6,54
20.37.198.118,192.168.141.56,6,66
192.168.141.56,20.37.198.118,6,54
192.168.141.56,20.37.198.118,6,571
34.131.210.131,192.168.141.56,6,54
34.131.210.131,192.168.141.56,6,78
192.168.141.56,34.131.210.131,6,54
20.189.173.14,192.168.141.56,6,66
192.168.141.56,20.189.173.14,6,54
192.168.141.56,20.189.173.14,6,571
20.37.198.118,192.168.141.56,6,153
192.168.141.56,20.37.198.118,6,487
20.37.198.118,192.168.141.56,6,1354
20.37.198.118,192.168.141.56,6,1354
20.37.198.118,192.168.141.56,6,1354
20.189.173.14,192.168.141.56,6,153
192.168.141.56,20.37.198.118,6,54
20.37.198.118,192.168.141.56,6,561
192.168.141.56,20.37.198.118,6,54
192.168.141.56,20.189.173.14,6,491
192.168.141.56,20.37.198.118,6,743
192.168.141.56,20.189.173.12,6,54
20.37.198.118,192.168.141.56,6,157
